Company Name,owner_first_name,owner_last_name,owner_title,email,Phone,Address,Website,Google Maps URL,Rating,Reviews,is_chain,source,notes
Beep's Burgers,,,,,1 415-584-2650,"1051 Ocean Ave, San Francisco, CA 94112, USA",http://www.beepsburgers.com/,https://www.google.com/maps/place/?q=place_id:ChIJIYVDyix8j4ARqtH43HjqjiU,4.6,2134,no,,
Taqueria Guadalajara,,,,,1 415-469-5480,"4798 Mission St, San Francisco, CA 94112, USA",,https://www.google.com/maps/place/?q=place_id:ChIJf3amCYV-j4ARZR_MXDE4xoE,4.3,1455,no,,
Pakwan Restaurant,Usually,,Owner,,1 415-841-8400,"1140 Ocean Ave, San Francisco, CA 94112, USA",http://www.pakwanrestaurant.com/,https://www.google.com/maps/place/?q=place_id:ChIJVay2NdN9j4ARoRYNaQbsgt4,4.3,751,no,website,
La Corneta Taqueria,,,,catering@lacorneta.com,1 415-469-8757,"2834 Diamond St, San Francisco, CA 94131, USA",https://lacorneta.com/lacornetadiamondst?utm_source=google,https://www.google.com/maps/place/?q=place_id:ChIJw0OtX2N-j4ARq3b03Qa_8VI,4.4,1338,no,website,
JJamPPong,,,,,1 415-347-7412,"5249 Mission St, San Francisco, CA 94112, USA",,https://www.google.com/maps/place/?q=place_id:ChIJaR7lIDN_j4ARlHb0ORUO4Lo,4.7,290,no,,
Taqueria El Farolito,,,,,1 415-337-5500,"4817 Mission St, San Francisco, CA 94112, USA",https://elfarolitosf.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0SA6CIV-j4ARfTx2pRocSD4,4.4,1132,no,,
Popeyes Louisiana Kitchen,,,,,1 415-239-2089,"890 Geneva Ave, San Francisco, CA 94112, USA",https://www.popeyes.com/store-locator/store/restaurant_82440,https://www.google.com/maps/place/?q=place_id:ChIJlVbEoZx-j4AR9HwNttzIgqw,4,832,yes,,Chain/franchise — individual owner not applicable
Ming Kee Restaurant,,,,,1 415-337-8198,"1548 Ocean Ave, San Francisco, CA 94112, USA",,https://www.google.com/maps/place/?q=place_id:ChIJY79sms19j4ARyofumcSb1hA,4.2,234,no,,
El Pollo Supremo,,,,info@elpollosupremosf.com,1 415-337-5750,"5210 Mission St, San Francisco, CA 94112, USA",http://www.elpollosupremosf.com/,https://www.google.com/maps/place/?q=place_id:ChIJ6U_0hZx-j4ARKapJMLOLDvM,4.2,1321,no,website,
Little Caesars Pizza,,,,,1 415-584-4000,"955 Geneva Ave, San Francisco, CA 94112, USA",https://littlecaesars.com/en-us/store/8526,https://www.google.com/maps/place/?q=place_id:ChIJ4b0ZcZt-j4ARPmQE-U4VGlQ,4.2,872,yes,,Chain/franchise — individual owner not applicable
Acai R,,,,,1 415-347-7707,"1130 Ocean Ave, San Francisco, CA 94112, USA",http://www.theacair.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0UHnsTp9j4ARr3rUsAzl3Co,4.6,229,no,,
Super Star Restaurant,,,,,1 415-585-4360,"4919 Mission St, San Francisco, CA 94112, USA",,https://www.google.com/maps/place/?q=place_id:ChIJqfU034R-j4ARB9bgRewmZ0E,4.5,329,no,,
That's Amore SF,,,,,1 415-347-7331,"1901 Ocean Ave, San Francisco, CA 94127, USA",https://www.thatsamoresf.com/,https://www.google.com/maps/place/?q=place_id:ChIJzXYAKDN9j4AR_02m8ckA3_k,4.7,257,no,,
The M Stop Deli,,,,,1 415-347-7102,"2598 San Jose Ave, San Francisco, CA 94112, USA",http://mstopdeli.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9TXCgzR9j4ARyFNzKIYHstc,4.8,151,no,,
The Halfway Club,,,,events@halfwayclub.com,1 628-377-0020,"1166 Geneva Ave, San Francisco, CA 94112, USA",https://www.halfwayclub.com/,https://www.google.com/maps/place/?q=place_id:ChIJsWVNUgB_j4ARmL62McnF2kI,4.8,106,no,website,
Roxie Food Center,,,,,1 415-587-2345,"1901 San Jose Ave, San Francisco, CA 94112, USA",https://www.roxiefoodcenter.com/,https://www.google.com/maps/place/?q=place_id:ChIJpWZaroB-j4ARGnCMgKkSqlY,4.7,765,no,,
Sakesan Sushi & Robata,,,,,1 415-347-7898,"1400 Ocean Ave, San Francisco, CA 94112, USA",https://www.sakesansushirobataca.com/rf06he5r/restaurant/order-online,https://www.google.com/maps/place/?q=place_id:ChIJX9-6Dz99j4AR_mjts53S788,4.5,478,no,,
La Taqueria,Miguel,Jara,Owner,,1 415-285-7117,"2889 Mission St, San Francisco, CA 94110, USA",https://lataqueriasf.net/,https://www.google.com/maps/place/?q=place_id:ChIJrTYB1UZ-j4ARdeRB5Wzp_CE,4.5,7066,no,website,
Tartine Bakery,,,,,1 415-487-2600,"600 Guerrero St, San Francisco, CA 94110, USA",http://www.tartinebakery.com/,https://www.google.com/maps/place/?q=place_id:ChIJBVY2Bxh-j4ARa2zO8Jd6H2A,4.5,5831,no,,
Tartine Manufactory,,,,,1 415-757-0007,"595 Alabama St, San Francisco, CA 94110, USA",https://www.tartinebakery.com/,https://www.google.com/maps/place/?q=place_id:ChIJu9EujzB-j4ARoyuqElfT14g,4.5,4280,no,,
Alamo Drafthouse Cinema New Mission,,,,,1 415-549-5959,"2550 Mission St, San Francisco, CA 94110, USA",https://drafthouse.com/sf/theater/new-mission,https://www.google.com/maps/place/?q=place_id:ChIJFyM_zj5-j4ARVy4Crc6cSdM,4.6,4742,yes,,Chain/franchise — individual owner not applicable
Foreign Cinema,,,,info@foreigncinema.com,1 415-648-7600,"2534 Mission St, San Francisco, CA 94110, USA",http://www.foreigncinema.com/,https://www.google.com/maps/place/?q=place_id:ChIJPwvLyD5-j4AR2fM8C0bbVC8,4.5,3292,no,website,
Tadaima Mission,,,,info.sunset@tadaimasf.com,1 415-638-0092,"3515 20th St B, San Francisco, CA 94110, USA",https://tadaimasf.com/,https://www.google.com/maps/place/?q=place_id:ChIJe7ZRYAB_j4AR7Me42C4yARE,4.2,221,no,website,
Pollo Campero,,,,,1 833-226-7376,"2740 Mission St, San Francisco, CA 94110, USA",http://www.campero.com/,https://www.google.com/maps/place/?q=place_id:ChIJARk0qkB-j4ARhiVT1P4gInY,4.3,3740,yes,,Chain/franchise — individual owner not applicable
Taquería El Farolito,,,,,1 415-824-7877,"2779 Mission St, San Francisco, CA 94110, USA",https://rebrand.ly/farolito,https://www.google.com/maps/place/?q=place_id:ChIJ5WRITUd-j4ARIcl68TeeR8M,4.5,5585,no,,
Burma Love,,,,ace.chon@burmainc.com,1 415-861-2100,"211 Valencia St, San Francisco, CA 94103, USA",https://www.burmalove.co/,https://www.google.com/maps/place/?q=place_id:ChIJC0_LRSB-j4ARUaZGUrDpvDM,4.5,2212,no,website,
Zeitgeist,,,,events@zeitgeistsf.com,1 415-255-7505,"199 Valencia St, San Francisco, CA 94103, USA",http://www.zeitgeistsf.com/,https://www.google.com/maps/place/?q=place_id:ChIJU889QiB-j4ARzQofqaFrMJU,4.3,3083,no,website,
Breakfast Little,,,,,1 415-619-8686,"3275 22nd St, San Francisco, CA 94110, USA",,https://www.google.com/maps/place/?q=place_id:ChIJp60UGGR_j4ARDQrwY2PapRs,4.7,707,no,,
Shizen,,,,,1 415-678-5767,"370 14th St, San Francisco, CA 94103, USA",https://www.shizensf.com/,https://www.google.com/maps/place/?q=place_id:ChIJIVHOoCF-j4ARnw6y25XWmMA,4.7,3167,no,,
