first_name,title,company,email,linkedin,website,business_address,google_review_link,yelp_link,phone,notes
,,Mel's Drive-in,,,https://melsdrive-in.com/restaurant/mels-lombard-street/,"San Francisco, CA, 94123",https://www.google.com/maps/search/?api=1&query=Mel%27s%20Drive-in%20San%20Francisco%2C%20CA%2C%2094123,https://www.yelp.com/search?find_desc=Mel%27s%20Drive-in&find_loc=San%20Francisco%2C%20CA,+1-415-921-2867,diner
,,Mezze and Mooore,,,https://www.mezzeandmooore.com/,"198 Guerrero Street, San Francisco, CA, 94103",https://www.google.com/maps/search/?api=1&query=Mezze%20and%20Mooore%20198%20Guerrero%20Street%2C%20San%20Francisco%2C%20CA%2C%2094103,https://www.yelp.com/search?find_desc=Mezze%20and%20Mooore&find_loc=San%20Francisco%2C%20CA,+1 415 6545089,lebanese
,,John's Grill Live Jazz,jkonstin@msn.com,,https://www.johnsgrill.com/,"63 Ellis Street, San Francisco, CA, 94102",https://www.google.com/maps/search/?api=1&query=John%27s%20Grill%20Live%20Jazz%2063%20Ellis%20Street%2C%20San%20Francisco%2C%20CA%2C%2094102,https://www.yelp.com/search?find_desc=John%27s%20Grill%20Live%20Jazz&find_loc=San%20Francisco%2C%20CA,+1 415-986-0069,steak;seafood
,,South Park Cafe,,,https://www.southpark.cafe/,"108 South Park, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=South%20Park%20Cafe%20108%20South%20Park%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=South%20Park%20Cafe&find_loc=San%20Francisco%2C%20CA,,
,,Little Star Pizza,,,http://www.littlestarpizza.com,"400 Valencia Street, San Francisco, CA, 94103",https://www.google.com/maps/search/?api=1&query=Little%20Star%20Pizza%20400%20Valencia%20Street%2C%20San%20Francisco%2C%20CA%2C%2094103,https://www.yelp.com/search?find_desc=Little%20Star%20Pizza&find_loc=San%20Francisco%2C%20CA,+1 415 551 7827,pizza
,,Caffe Trieste,,,https://caffetrieste.com/,"601 Vallejo Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Caffe%20Trieste%20601%20Vallejo%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Caffe%20Trieste&find_loc=San%20Francisco%2C%20CA,+1-415-392-6739,coffee_shop
,,Tommaso's Ristorante Italiano,mo@tommasos.com,,https://www.tommasos.com/,"1042 Kearny Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Tommaso%27s%20Ristorante%20Italiano%201042%20Kearny%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Tommaso%27s%20Ristorante%20Italiano&find_loc=San%20Francisco%2C%20CA,+1-415-398-9696,italian
,,Noe Cafe,info@noecafe.com,,https://noecafe.com/,"1299 Sanchez Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Noe%20Cafe%201299%20Sanchez%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Noe%20Cafe&find_loc=San%20Francisco%2C%20CA,+14159158876,coffee_shop;beer
,,Bernal Heights Pizzeria,bernalheightspizzeria@gmail.com,,https://www.bernalheightspizzeria.com/,"1361 Church Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Bernal%20Heights%20Pizzeria%201361%20Church%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Bernal%20Heights%20Pizzeria&find_loc=San%20Francisco%2C%20CA,,pizza
Gino,Owner,Belle Cora,thebellecora@gmail.com,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Gino%22%20%22Belle%20Cora%22%20San%20Francisco%20restaurant,https://thebellecora.com/,"565 Green Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Belle%20Cora%20565%20Green%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Belle%20Cora&find_loc=San%20Francisco%2C%20CA,+1 415 8725451,
,,Barbara Pinseria & Cocktail Bar,info@sfbarbara.com,,https://www.sfbarbara.com/,"431 Columbus Avenue, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Barbara%20Pinseria%20%26%20Cocktail%20Bar%20431%20Columbus%20Avenue%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Barbara%20Pinseria%20%26%20Cocktail%20Bar&find_loc=San%20Francisco%2C%20CA,+1 415 445 3009,italian;pizza;pinsa
Tony,Owner,Original Joe's,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Tony%22%20%22Original%20Joe%27s%22%20San%20Francisco%20restaurant,https://originaljoes.com/,"601 Union Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Original%20Joe%27s%20601%20Union%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Original%20Joe%27s&find_loc=San%20Francisco%2C%20CA,+1 415 7754877,italian;burger;pasta;steak
,,Acquolina,,,https://www.facebook.com/Acquolina-446017905573613/,"1600 Stockton Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Acquolina%201600%20Stockton%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Acquolina&find_loc=San%20Francisco%2C%20CA,+1 415-781-0331,
Made,Owner,North Beach Pizza,mynorthbeachpizza@gmail.com,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Made%22%20%22North%20Beach%20Pizza%22%20San%20Francisco%20restaurant,https://www.northbeachpizza.com/,"1462 Grant Avenue, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=North%20Beach%20Pizza%201462%20Grant%20Avenue%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=North%20Beach%20Pizza&find_loc=San%20Francisco%2C%20CA,,
,,Il Pollaio,,,https://www.ilpollaiosf.com,"555 Columbus Avenue, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Il%20Pollaio%20555%20Columbus%20Avenue%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Il%20Pollaio&find_loc=San%20Francisco%2C%20CA,,chicken
